peilbuis,simname,T,return value
HB-6B-1_PB1,0.025,2.0,-0.2549963503545079
HB-6B-1_PB1,0.025,10.0,-0.1315540448743151
HB-6B-1_PB1,0.025,20.0,-0.08438627124496437
HB-6B-1_PB1,0.025,100.0,0.02241883859752941
HB-6B-1_PB1,0.025,200.0,0.06800316499317743
HB-6B-1_PB1,0.025,1000.0,0.17359531132357253
HB-6B-1_PB1,0.975,2.0,0.10080848857967423
HB-6B-1_PB1,0.975,10.0,0.24635532428340082
HB-6B-1_PB1,0.975,20.0,0.30196932284115807
HB-6B-1_PB1,0.975,100.0,0.42789977848270677
HB-6B-1_PB1,0.975,200.0,0.48164678554615636
HB-6B-1_PB1,0.975,1000.0,0.6061470750844125
HB-6B-1_PB1,Simulation,2.0,-0.04790948117340259
HB-6B-1_PB1,Simulation,10.0,0.10342722348557674
HB-6B-1_PB1,Simulation,20.0,0.16125355295503102
HB-6B-1_PB1,Simulation,100.0,0.29219353581930835
HB-6B-1_PB1,Simulation,200.0,0.3480786046697409
HB-6B-1_PB1,Simulation,1000.0,0.47753152926757925
HB-6B-2_PB1,0.025,2.0,-1.1592699523607812
HB-6B-2_PB1,0.025,10.0,-1.0960586963894872
HB-6B-2_PB1,0.025,20.0,-1.0719054354723103
HB-6B-2_PB1,0.025,100.0,-1.017213609108298
HB-6B-2_PB1,0.025,200.0,-0.9938711859992555
HB-6B-2_PB1,0.025,1000.0,-0.9398004833800473
HB-6B-2_PB1,0.975,2.0,-0.7292516438521336
HB-6B-2_PB1,0.975,10.0,-0.6638464265160627
HB-6B-2_PB1,0.975,20.0,-0.6388548446310234
HB-6B-2_PB1,0.975,100.0,-0.5822647526469416
HB-6B-2_PB1,0.975,200.0,-0.558112151450554
HB-6B-2_PB1,0.975,1000.0,-0.502164741420774
HB-6B-2_PB1,Simulation,2.0,-0.9493907535400348
HB-6B-2_PB1,Simulation,10.0,-0.8766501300188745
HB-6B-2_PB1,Simulation,20.0,-0.8488556615782762
HB-6B-2_PB1,Simulation,100.0,-0.7859188081634992
HB-6B-2_PB1,Simulation,200.0,-0.7590574148031526
HB-6B-2_PB1,Simulation,1000.0,-0.6968353221977697
HB-6B-3_PB1,0.025,2.0,-1.9246202085079949
HB-6B-3_PB1,0.025,10.0,-1.8212959500899697
HB-6B-3_PB1,0.025,20.0,-1.7818153586304726
HB-6B-3_PB1,0.025,100.0,-1.6924168438603306
HB-6B-3_PB1,0.025,200.0,-1.65426163684282
HB-6B-3_PB1,0.025,1000.0,-1.565878402489616
HB-6B-3_PB1,0.975,2.0,-1.6699782050727652
HB-6B-3_PB1,0.975,10.0,-1.5617216023371427
HB-6B-3_PB1,0.975,20.0,-1.5203563433859826
HB-6B-3_PB1,0.975,100.0,-1.4266902513490947
HB-6B-3_PB1,0.975,200.0,-1.3867136461294485
HB-6B-3_PB1,0.975,1000.0,-1.2941113005006601
HB-6B-3_PB1,Simulation,2.0,-1.8013226177880453
HB-6B-3_PB1,Simulation,10.0,-1.6957211669469612
HB-6B-3_PB1,Simulation,20.0,-1.6553704516162069
HB-6B-3_PB1,Simulation,100.0,-1.564001657808168
HB-6B-3_PB1,Simulation,200.0,-1.52500553744029
HB-6B-3_PB1,Simulation,1000.0,-1.4346744001001586
HB-6B-4_PB1,0.025,2.0,-2.7330833320975834
HB-6B-4_PB1,0.025,10.0,-2.5480598440283115
HB-6B-4_PB1,0.025,20.0,-2.4773616667104505
HB-6B-4_PB1,0.025,100.0,-2.3172751073270406
HB-6B-4_PB1,0.025,200.0,-2.248950305402758
HB-6B-4_PB1,0.025,1000.0,-2.0906818159187743
HB-6B-4_PB1,0.975,2.0,-2.6134519602190562
HB-6B-4_PB1,0.975,10.0,-2.42184061182079
HB-6B-4_PB1,0.975,20.0,-2.3486251880573845
HB-6B-4_PB1,0.975,100.0,-2.182838661038663
HB-6B-4_PB1,0.975,200.0,-2.1120811179701056
HB-6B-4_PB1,0.975,1000.0,-1.9481773942027258
HB-6B-4_PB1,Simulation,2.0,-2.6738017544141464
HB-6B-4_PB1,Simulation,10.0,-2.4854666816819058
HB-6B-4_PB1,Simulation,20.0,-2.413503135290373
HB-6B-4_PB1,Simulation,100.0,-2.2505513170128975
HB-6B-4_PB1,Simulation,200.0,-2.1810036251273788
HB-6B-4_PB1,Simulation,1000.0,-2.0199024169011652
PB007718,0.025,2.0,-2.1138561839982914
PB007718,0.025,10.0,-2.0202941618028376
PB007718,0.025,20.0,-2.013362788527323
PB007718,0.025,100.0,-2.0087601644001096
PB007718,0.025,200.0,-2.0082941026556127
PB007718,0.025,1000.0,-2.0079701233815967
PB007718,0.975,2.0,-1.9191758959992327
PB007718,0.975,10.0,-1.8185158689912229
PB007718,0.975,20.0,-1.8104728340602945
PB007718,0.975,100.0,-1.8048702914891321
PB007718,0.975,200.0,-1.8042645852400936
PB007718,0.975,1000.0,-1.8038233131126944
PB007718,Simulation,2.0,-1.9987761630938032
PB007718,Simulation,10.0,-1.9147812767195105
PB007718,Simulation,20.0,-1.9099573752825612
PB007718,Simulation,100.0,-1.9072184662895946
PB007718,Simulation,200.0,-1.9069959201015052
PB007718,Simulation,1000.0,-1.9068632302443933
